,no_bhk,price,area,cons_stats
1331,3 ,9127000,1942,3
1332,3 ,8615000,1833,3
1333,3 ,9127000,1942,3
1334,2 ,6382000,1358,3
1335,2 ,6382000,1358,3
1336,3 ,8723000,1856,3
1337,3 ,8723000,1856,3
1338,3 ,7628000,1623,3
1339,3 ,7628000,1623,3
1340,2 ,6409999,1364,3
1341,2 ,6409999,1364,3
1342,3 ,16700000,2300,3
1343,2 ,11000000,1515,3
1344,4 ,30400000,3800,1
1345,3 ,13500000,2260,3
1346,3 ,13500000,2260,3
1347,3 ,9040000,1507,3
1348,3 ,9040000,1507,3
1349,3 ,13500000,2260,3
1350,3 ,13500000,2260,3
1351,3 ,9040000,1507,3
1352,3 ,9040000,1507,3
1353,2 ,12600000,1492,1
1354,2 ,12600000,1492,1
1355,2 ,10900000,1283,1
1356,2 ,10900000,1283,1
1357,2 ,12600000,1492,1
1358,2 ,12600000,1492,1
1359,2 ,10900000,1283,1
1360,2 ,10900000,1283,1
1361,4 ,23000000,2708,1
1362,4 ,23000000,2708,1
1363,2 ,11900000,1410,1
1364,2 ,11900000,1410,1
1365,4 ,43400000,3333,3
1366,4 ,43400000,3333,3
1367,3 ,24900000,2552,3
1368,3 ,24900000,2552,3
1369,4 ,43400000,3333,3
1370,4 ,43400000,3333,3
1371,3 ,24900000,2552,3
1372,3 ,24900000,2552,3
1373,4 ,34900000,3030,3
1374,4 ,34900000,3030,3
1375,4 ,48000000,3939,3
1376,4 ,48000000,3939,3
1377,3 ,14000000,1905,3
1378,3 ,14000000,1905,3
1379,3 ,15600000,2120,3
1380,3 ,14000000,1905,3
1381,3 ,14000000,1905,3
1382,3 ,15600000,2120,3
1383,3 ,15600000,2120,3
1384,5 ,60900000,6781,1
1385,5 ,60900000,6781,1
1386,4 ,37300000,4157,1
1387,4 ,37300000,4157,1
1388,3 ,18400000,2220,1
1389,5 ,60900000,6781,1
1390,5 ,60900000,6781,1
1391,3 ,18400000,2220,1
1392,2 ,12000000,1450,1
1393,4 ,37300000,4157,1
1394,4 ,37300000,4157,1
1395,3 ,18400000,2220,1
1396,3 ,26100000,2910,1
1397,2 ,12000000,1450,1
1398,3 ,26100000,2910,1
1399,2 ,12000000,1450,1
1400,4 ,37100000,4132,1
1401,4 ,37100000,4132,1
1402,3 ,12800000,1550,1
1403,3 ,12800000,1550,1
1404,5 ,77200000,8596,1
1405,5 ,77200000,8596,1
1406,2 ,9626000,1160,1
1407,2 ,9626000,1160,1
1408,4 ,42200000,4701,1
1409,4 ,42200000,4701,1
1410,4 ,36200000,4027,1
1411,4 ,36200000,4027,1
1412,5 ,64100000,7141,1
1413,5 ,64100000,7141,1
